,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.93503404,0.32132626,144.0,1,0train,22,2,BNCI2014-001,csp+lda
1,0.94612247,0.31203157,144.0,1,1test,22,2,BNCI2014-001,csp+lda
2,0.617551,0.3099174,144.0,2,0train,22,2,BNCI2014-001,csp+lda
3,0.6672789,0.3191743,144.0,2,1test,22,2,BNCI2014-001,csp+lda
4,0.992381,0.3156013,144.0,3,0train,22,2,BNCI2014-001,csp+lda
5,0.9961905,0.3243366,144.0,3,1test,22,2,BNCI2014-001,csp+lda
6,0.8141497,0.30858278,144.0,4,0train,22,2,BNCI2014-001,csp+lda
7,0.8567347,0.30953446,144.0,4,1test,22,2,BNCI2014-001,csp+lda
8,0.5459864,0.3186279,144.0,5,0train,22,2,BNCI2014-001,csp+lda
9,0.61482996,0.32969683,144.0,5,1test,22,2,BNCI2014-001,csp+lda
10,0.7231973,0.34320837,144.0,6,0train,22,2,BNCI2014-001,csp+lda
11,0.6917687,0.3351397,144.0,6,1test,22,2,BNCI2014-001,csp+lda
12,0.8261905,0.3132492,144.0,7,0train,22,2,BNCI2014-001,csp+lda
13,0.965102,0.303795,144.0,7,1test,22,2,BNCI2014-001,csp+lda
14,0.99904764,0.3002967,144.0,8,0train,22,2,BNCI2014-001,csp+lda
15,0.9960544,0.31594157,144.0,8,1test,22,2,BNCI2014-001,csp+lda
16,0.8605442,0.30751163,144.0,9,0train,22,2,BNCI2014-001,csp+lda
17,0.967415,0.3198084,144.0,9,1test,22,2,BNCI2014-001,csp+lda
